,shape,label
0,torus_color_000,0.0
1,torus_color_001,0.0020040080160320644
2,torus_color_002,0.004008016032064129
3,torus_color_003,0.006012024048096194
4,torus_color_004,0.008016032064128258
5,torus_color_005,0.010020040080160322
6,torus_color_006,0.012024048096192388
7,torus_color_007,0.01402805611222445
8,torus_color_008,0.016032064128256515
9,torus_color_009,0.018036072144288578
10,torus_color_010,0.020040080160320644
11,torus_color_011,0.02204408817635271
12,torus_color_012,0.024048096192384776
13,torus_color_013,0.026052104208416835
14,torus_color_014,0.0280561122244489
15,torus_color_015,0.030060120240480964
16,torus_color_016,0.03206412825651303
17,torus_color_017,0.034068136272545096
18,torus_color_018,0.036072144288577156
19,torus_color_019,0.03807615230460922
20,torus_color_020,0.04008016032064129
21,torus_color_021,0.042084168336673354
22,torus_color_022,0.04408817635270542
23,torus_color_023,0.04609218436873748
24,torus_color_024,0.04809619238476955
25,torus_color_025,0.05010020040080161
26,torus_color_026,0.05210420841683367
27,torus_color_027,0.05410821643286573
28,torus_color_028,0.0561122244488978
29,torus_color_029,0.05811623246492986
30,torus_color_030,0.06012024048096193
31,torus_color_031,0.062124248496994
32,torus_color_032,0.06412825651302606
33,torus_color_033,0.06613226452905813
34,torus_color_034,0.06813627254509019
35,torus_color_035,0.07014028056112226
36,torus_color_036,0.07214428857715431
37,torus_color_037,0.07414829659318639
38,torus_color_038,0.07615230460921844
39,torus_color_039,0.07815631262525051
40,torus_color_040,0.08016032064128258
41,torus_color_041,0.08216432865731464
42,torus_color_042,0.08416833667334671
43,torus_color_043,0.08617234468937876
44,torus_color_044,0.08817635270541084
45,torus_color_045,0.09018036072144289
46,torus_color_046,0.09218436873747496
47,torus_color_047,0.09418837675350702
48,torus_color_048,0.0961923847695391
49,torus_color_049,0.09819639278557116
50,torus_color_050,0.10020040080160322
51,torus_color_051,0.10220440881763529
52,torus_color_052,0.10420841683366734
53,torus_color_053,0.10621242484969941
54,torus_color_054,0.10821643286573146
55,torus_color_055,0.11022044088176355
56,torus_color_056,0.1122244488977956
57,torus_color_057,0.11422845691382767
58,torus_color_058,0.11623246492985972
59,torus_color_059,0.11823647294589179
60,torus_color_060,0.12024048096192386
61,torus_color_061,0.12224448897795594
62,torus_color_062,0.124248496993988
63,torus_color_063,0.12625250501002006
64,torus_color_064,0.12825651302605212
65,torus_color_065,0.1302605210420842
66,torus_color_066,0.13226452905811625
67,torus_color_067,0.1342685370741483
68,torus_color_068,0.13627254509018039
69,torus_color_069,0.13827655310621245
70,torus_color_070,0.14028056112224452
71,torus_color_071,0.14228456913827656
72,torus_color_072,0.14428857715430862
73,torus_color_073,0.1462925851703407
74,torus_color_074,0.14829659318637278
75,torus_color_075,0.15030060120240482
76,torus_color_076,0.1523046092184369
77,torus_color_077,0.15430861723446895
78,torus_color_078,0.15631262525050102
79,torus_color_079,0.15831663326653309
80,torus_color_080,0.16032064128256515
81,torus_color_081,0.16232464929859722
82,torus_color_082,0.16432865731462928
83,torus_color_083,0.16633266533066135
84,torus_color_084,0.16833667334669342
85,torus_color_085,0.17034068136272545
86,torus_color_086,0.17234468937875752
87,torus_color_087,0.17434869739478961
88,torus_color_088,0.17635270541082168
89,torus_color_089,0.17835671342685372
90,torus_color_090,0.18036072144288579
91,torus_color_091,0.18236472945891785
92,torus_color_092,0.18436873747494992
93,torus_color_093,0.18637274549098198
94,torus_color_094,0.18837675350701405
95,torus_color_095,0.1903807615230461
96,torus_color_096,0.1923847695390782
97,torus_color_097,0.19438877755511025
98,torus_color_098,0.19639278557114231
99,torus_color_099,0.19839679358717438
100,torus_color_100,0.20040080160320645
101,torus_color_101,0.2024048096192385
102,torus_color_102,0.20440881763527058
103,torus_color_103,0.20641282565130262
104,torus_color_104,0.20841683366733468
105,torus_color_105,0.21042084168336675
106,torus_color_106,0.21242484969939882
107,torus_color_107,0.21442885771543088
108,torus_color_108,0.21643286573146292
109,torus_color_109,0.21843687374749504
110,torus_color_110,0.2204408817635271
